Department,Category,Condition Group,Sales Week,Net Item Revenue (Fulfilled),Net Items (Fulfilled),Gross Orders (Fulfilled),Net Sell Through Items (Week),MSRP of Sold Items,Avg. Item Age When Sold,Avg. Item Age EOW,EOW Inventory For Sale $,EOW Inventory For Sale Items,MSRP of EOW Inventory,,,,,,,,,,,,#REF!
Kids Furniture,Rugs,Perfect,12/2/2018,"$7,032",$83,78,3.90%,"$11,919",152.999,154.77,"$188,155","2,053","$289,915",,,,,,,,,,,,#REF!
Kids Furniture,Rugs,Perfect,11/25/2018,"$6,543",$62,61,2.90%,"$11,090",113.421,150.22,"$192,594","2,106","$296,754",,,,,,,,,,,,#REF!
Kids Furniture,Rugs,Perfect,11/18/2018,"$3,574",$43,39,2.00%,"$6,058",112.728,147.91,"$195,301","2,136","$300,925",,,,,,,,,,,,#REF!
Kids Furniture,Rugs,Perfect,11/11/2018,"$3,385",$43,45,2.00%,"$5,737",119.042,143.5,"$193,772","2,133","$298,569",,,,,,,,,,,,#REF!
Kids Furniture,Rugs,Perfect,11/4/2018,"$3,003",$35,38,1.60%,"$5,090",105.259,140.77,"$195,012","2,151","$300,481",,,,,,,,,,,,#REF!
Kids Furniture,Rugs,Perfect,10/28/2018,"$3,202",$27,32,1.20%,"$5,427",82.005,137.2,"$194,480","2,150","$299,661",,,,,,,,,,,,#REF!
Kids Furniture,Rugs,Perfect,10/21/2018,"$3,116",$30,31,1.40%,"$5,281",105.952,134.89,"$192,585","2,129","$296,741",,,,,,,,,,,,#REF!
Kids Furniture,Rugs,Perfect,10/14/2018,"$3,335",$29,33,1.40%,"$5,653",92.708,133,"$190,421","2,106","$293,407",,,,,,,,,,,,#REF!
Kids Furniture,Rugs,Perfect,10/7/2018,"$3,593",$33,32,1.60%,"$6,090",77.847,129.64,"$188,097","2,083","$289,825",,,,,,,,,,,,#REF!
Kids Furniture,Rugs,Great,1/13/2019,"$1,724",$17,19,4.40%,"$2,922",115.654,137.13,"$32,551",368,"$50,156",,,,,,,,,,,,#REF!
Kids Furniture,Rugs,Great,1/6/2019,"$1,068",$15,18,3.80%,"$1,810",130.9,133.98,"$34,318",381,"$52,878",,,,,,,,,,,,#REF!
Kids Furniture,Rugs,Great,12/30/2018,"$1,671",$16,16,4.00%,"$2,832",113.575,128.87,"$34,725",387,"$53,505",,,,,,,,,,,,#REF!
Kids Furniture,Rugs,Great,12/23/2018,$664,$9,8,2.20%,"$1,125",83.314,127.75,"$35,463",394,"$54,642",,,,,,,,,,,,#REF!
Kids Furniture,Rugs,Great,12/16/2018,$679,$7,8,1.70%,"$1,151",148.533,125.65,"$35,770",398,"$55,115",,,,,,,,,,,,#REF!
Kids Furniture,Rugs,Great,12/9/2018,"$1,567",$15,17,3.70%,"$2,656",160.237,123.83,"$34,800",390,"$53,620",,,,,,,,,,,,#REF!
Kids Furniture,Rugs,Great,12/2/2018,"$1,428",$17,17,4.00%,"$2,420",129.206,120.54,"$36,488",405,"$56,222",,,,,,,,,,,,#REF!
Kids Furniture,Rugs,Great,11/25/2018,$889,$10,10,2.40%,"$1,507",102.564,117.74,"$36,506",414,"$56,249",,,,,,,,,,,,#REF!
Kids Furniture,Rugs,Great,11/18/2018,$995,$10,10,2.30%,"$1,686",63.91,114.31,"$36,861",419,"$56,797",,,,,,,,,,,,#REF!
Kids Furniture,Rugs,Great,11/11/2018,$497,$5,5,1.20%,$842,79.233,109.83,"$37,073",419,"$57,124",,,,,,,,,,,,#REF!
Kids Furniture,Rugs,Great,11/4/2018,"$1,169",$12,12,2.80%,"$1,981",58.289,106.05,"$36,953",415,"$56,939",,,,,,,,,,,,#REF!
Kids Furniture,Rugs,Great,10/28/2018,$493,$3,5,0.70%,$836,42.658,104.16,"$37,243",416,"$57,385",,,,,,,,,,,,#REF!
Kids Furniture,Rugs,Great,10/21/2018,$161,$1,1,0.20%,$273,8.624,102.55,"$36,391",405,"$56,073",,,,,,,,,,,,#REF!
Kids Furniture,Rugs,Great,10/14/2018,$778,$7,8,1.80%,"$1,319",121.198,101.64,"$35,464",391,"$54,644",,,,,,,,,,,,#REF!
Kids Furniture,Rugs,Great,10/7/2018,$837,$8,8,2.10%,"$1,419",21.175,100.03,"$34,231",376,"$52,744",,,,,,,,,,,,#REF!
Kids Furniture,Rugs,OK,1/13/2019,$385,$4,5,3.60%,$653,170.632,173.11,"$8,974",106,"$13,827",,,,,,,,,,,,#REF!
Kids Furniture,Rugs,OK,1/6/2019,"$1,076",$11,11,9.10%,"$1,824",83.545,161.14,"$9,459",110,"$14,575",,,,,,,,,,,,#REF!
Kids Furniture,Rugs,OK,12/30/2018,$72,$1,2,0.80%,$122,200.893,156.1,"$10,091",117,"$15,549",,,,,,,,,,,,#REF!
Kids Furniture,Rugs,OK,12/23/2018,$85,$1,1,0.90%,$144,14.861,158.41,"$9,925",114,"$15,293",,,,,,,,,,,,#REF!
Kids Furniture,Rugs,OK,12/16/2018,$324,$3,3,2.60%,$549,78.617,159.32,"$9,742",113,"$15,010",,,,,,,,,,,,#REF!
Kids Furniture,Rugs,OK,12/9/2018,$139,$3,3,2.60%,$236,229.152,157.5,"$9,759",113,"$15,037",,,,,,,,,,,,#REF!
Kids Furniture,Rugs,OK,12/2/2018,$195,$3,3,2.50%,$331,107.646,152.6,"$9,825",116,"$15,139",,,,,,,,,,,,#REF!
Kids Furniture,Rugs,OK,11/25/2018,$259,$2,2,1.70%,$439,27.181,148.26,"$9,906",117,"$15,263",,,,,,,,,,,,#REF!
Kids Furniture,Rugs,OK,11/18/2018,$116,$2,2,1.70%,$197,51.975,143.01,"$10,161",119,"$15,656",,,,,,,,,,,,#REF!
Kids Furniture,Rugs,OK,11/11/2018,$403,$5,5,4.00%,$683,82.005,135.66,"$10,100",119,"$15,563",,,,,,,,,,,,#REF!
Kids Furniture,Rugs,OK,11/4/2018,$123,$2,3,1.60%,$208,126.588,134.33,"$10,207",120,"$15,727",,,,,,,,,,,,#REF!
Kids Furniture,Rugs,OK,10/28/2018,$0,$0,0,0.00%,$0,0,132.93,"$10,061",119,"$15,502",,,,,,,,,,,,#REF!
Kids Furniture,Rugs,OK,10/21/2018,$117,$2,3,1.70%,$198,24.332,126.91,"$10,010",118,"$15,424",,,,,,,,,,,,#REF!
Kids Furniture,Rugs,OK,10/14/2018,$537,$5,4,4.00%,$910,154.616,121.66,"$10,069",119,"$15,515",,,,,,,,,,,,#REF!
Kids Furniture,Rugs,OK,10/7/2018,$143,$2,2,1.60%,$242,164.78,121.8,"$10,195",120,"$15,708",,,,,,,,,,,,#REF!
Kids Furniture,Side Tables,Perfect,1/13/2019,"$2,425",$54,48,4.70%,"$5,389",160.16,165.13,"$63,334","1,087","$175,927",,,,,,,,,,,,#REF!
Kids Furniture,Side Tables,Perfect,1/6/2019,"$1,648",$45,46,3.80%,"$3,662",160.083,161.28,"$65,174","1,127","$181,039",,,,,,,,,,,,#REF!
Kids Furniture,Side Tables,Perfect,12/30/2018,"$1,067",$21,25,1.80%,"$2,371",141.911,156.73,"$67,278","1,176","$186,884",,,,,,,,,,,,#REF!
Kids Furniture,Side Tables,Perfect,12/23/2018,"$1,643",$40,39,3.30%,"$3,651",111.727,151.62,"$67,443","1,178","$187,342",,,,,,,,,,,,#REF!
Kids Furniture,Side Tables,Perfect,12/16/2018,"$1,571",$28,25,2.30%,"$3,491",178.486,148.33,"$68,534","1,207","$190,373",,,,,,,,,,,,#REF!
Kids Furniture,Side Tables,Perfect,12/9/2018,"$3,569",$69,58,5.40%,"$7,931",151.382,145.81,"$68,867","1,216","$191,296",,,,,,,,,,,,#REF!
Kids Furniture,Side Tables,Perfect,12/2/2018,"$2,868",$60,52,4.60%,"$6,373",139.678,144.48,"$71,174","1,257","$197,707",,,,,,,,,,,,#REF!
Kids Furniture,Side Tables,Perfect,11/25/2018,"$3,318",$57,52,4.30%,"$7,373",133.287,142.17,"$72,322","1,271","$200,894",,,,,,,,,,,,#REF!
Kids Furniture,Side Tables,Perfect,11/18/2018,"$2,312",$44,39,3.30%,"$5,138",75.306,141.05,"$74,716","1,300","$207,546",,,,,,,,,,,,#REF!
Kids Furniture,Side Tables,Perfect,11/11/2018,"$1,101",$22,26,1.70%,"$2,447",105.721,137.27,"$74,797","1,299","$207,769",,,,,,,,,,,,#REF!
Kids Furniture,Side Tables,Perfect,11/4/2018,"$2,496",$44,41,3.30%,"$5,547",103.411,135.17,"$74,110","1,283","$205,862",,,,,,,,,,,,#REF!
Kids Furniture,Side Tables,Perfect,10/28/2018,"$1,329",$27,30,2.10%,"$2,953",126.28,134.4,"$74,408","1,287","$206,690",,,,,,,,,,,,#REF!
Kids Furniture,Side Tables,Perfect,10/21/2018,"$1,277",$25,27,2.00%,"$2,838",93.94,135.31,"$71,137","1,240","$197,603",,,,,,,,,,,,#REF!
Kids Furniture,Side Tables,Perfect,10/14/2018,"$2,093",$36,34,2.90%,"$4,651",84.854,134.82,"$68,752","1,225","$190,978",,,,,,,,,,,,#REF!
Kids Furniture,Side Tables,Perfect,10/7/2018,"$1,644",$32,31,2.50%,"$3,653",97.328,131.95,"$68,520","1,225","$190,334",,,,,,,,,,,,#REF!
Kids Furniture,Side Tables,Great,1/13/2019,$433,$6,8,2.70%,$962,167.629,147.77,"$13,699",218,"$38,054",,,,,,,,,,,,#REF!
Kids Furniture,Side Tables,Great,1/6/2019,$487,$8,7,3.50%,"$1,082",59.521,143.22,"$13,910",220,"$38,638",,,,,,,,,,,,#REF!
Kids Furniture,Side Tables,Great,12/30/2018,$619,$13,15,5.50%,"$1,376",83.545,135.52,"$14,301",225,"$39,725",,,,,,,,,,,,#REF!
Kids Furniture,Side Tables,Great,12/23/2018,$419,$8,8,3.30%,$931,138.985,134.47,"$14,675",234,"$40,764",,,,,,,,,,,,#REF!
Kids Furniture,Side Tables,Great,12/16/2018,$506,$6,6,2.40%,"$1,124",142.065,131.53,"$14,780",239,"$41,054",,,,,,,,,,,,#REF!
Kids Furniture,Side Tables,Great,12/9/2018,$251,$9,13,3.70%,$558,109.802,126,"$14,677",236,"$40,770",,,,,,,,,,,,#REF!
Kids Furniture,Side Tables,Great,12/2/2018,$477,$12,11,4.70%,"$1,060",79.002,123.2,"$15,312",246,"$42,533",,,,,,,,,,,,#REF!
Kids Furniture,Side Tables,Great,11/25/2018,$531,$9,10,3.50%,"$1,180",148.995,123.34,"$15,418",249,"$42,827",,,,,,,,,,,,#REF!
Kids Furniture,Side Tables,Great,11/18/2018,$103,$3,4,1.20%,$229,87.703,121.38,"$15,936",256,"$44,266",,,,,,,,,,,,#REF!
Kids Furniture,Side Tables,Great,11/11/2018,$555,$10,10,3.80%,"$1,233",58.212,115.36,"$15,825",255,"$43,957",,,,,,,,,,,,#REF!
Kids Furniture,Side Tables,Great,11/4/2018,$20,$2,3,0.80%,$44,11.704,112.42,"$16,031",256,"$44,532",,,,,,,,,,,,#REF!
Kids Furniture,Side Tables,Great,10/28/2018,$391,$9,9,3.50%,$869,90.013,110.25,"$15,627",250,"$43,407",,,,,,,,,,,,#REF!
Kids Furniture,Side Tables,Great,10/21/2018,$45,$1,2,0.40%,$100,23.408,107.59,"$15,286",251,"$42,460",,,,,,,,,,,,#REF!
Kids Furniture,Side Tables,Great,10/14/2018,$617,$12,11,4.80%,"$1,371",106.645,106.82,"$14,705",239,"$40,847",,,,,,,,,,,,#REF!
Kids Furniture,Side Tables,Great,10/7/2018,$71,$1,3,0.40%,$158,87.857,107.94,"$14,451",238,"$40,141",,,,,,,,,,,,#REF!
Kids Furniture,Side Tables,OK,1/13/2019,$67,$1,1,1.60%,$149,13.321,167.44,"$4,120",62,"$11,443",,,,,,,,,,,,#REF!
Kids Furniture,Side Tables,OK,1/6/2019,$332,$3,3,4.60%,$738,43.428,157.08,"$4,148",62,"$11,523",,,,,,,,,,,,#REF!
Kids Furniture,Side Tables,OK,12/30/2018,$58,$1,1,1.60%,$129,203.588,160.09,"$4,332",62,"$12,033",,,,,,,,,,,,#REF!
Kids Furniture,Side Tables,OK,12/23/2018,$3,$0,2,0.00%,$7,257.411,157.22,"$4,233",59,"$11,758",,,,,,,,,,,,#REF!
Kids Furniture,Side Tables,OK,12/16/2018,$159,$1,1,1.70%,$353,78.001,173.88,"$4,072",58,"$11,312",,,,,,,,,,,,#REF!
Kids Furniture,Side Tables,OK,12/9/2018,$322,$7,7,10.80%,$716,77.462,157.92,"$4,213",58,"$11,703",,,,,,,,,,,,#REF!
Kids Furniture,Side Tables,OK,12/2/2018,$644,$10,9,13.30%,"$1,431",72.303,144.83,"$4,554",65,"$12,650",,,,,,,,,,,,#REF!
Kids Furniture,Side Tables,OK,11/25/2018,$179,$4,4,5.10%,$398,131.208,137.76,"$5,309",75,"$14,746",,,,,,,,,,,,#REF!
Kids Furniture,Side Tables,OK,11/18/2018,$135,$4,4,4.90%,$300,65.681,133.7,"$5,222",77,"$14,505",,,,,,,,,,,,#REF!
Kids Furniture,Side Tables,OK,11/11/2018,-$125,-$2,0,-2.60%,-$278,0,127.4,"$5,312",79,"$14,755",,,,,,,,,,,,#REF!
Kids Furniture,Side Tables,OK,11/4/2018,$4,$0,1,0.00%,$9,150.15,127.68,"$5,199",77,"$14,441",,,,,,,,,,,,#REF!
Kids Furniture,Side Tables,OK,10/28/2018,$232,$4,3,5.20%,$516,48.202,124.95,"$4,533",73,"$12,592",,,,,,,,,,,,#REF!
Kids Furniture,Side Tables,OK,10/21/2018,$128,$3,3,3.80%,$284,146.454,123.13,"$4,704",76,"$13,066",,,,,,,,,,,,#REF!
Kids Furniture,Side Tables,OK,10/14/2018,$220,$5,5,6.00%,$489,15.939,116.69,"$4,770",78,"$13,249",,,,,,,,,,,,#REF!
Kids Furniture,Side Tables,OK,10/7/2018,$0,$0,0,0.00%,$0,0,110.25,"$4,824",82,"$13,399",,,,,,,,,,,,#REF!
Kids Furniture,Desks,Perfect,1/13/2019,"$1,385",$54,37,9.00%,"$3,078",139.678,154,"$18,975",549,"$38,333",,,,,,,,,,,,#REF!
Kids Furniture,Desks,Perfect,1/6/2019,"$1,640",$63,47,9.70%,"$3,644",149.688,150.71,"$20,165",588,"$40,738",,,,,,,,,,,,#REF!
Kids Furniture,Desks,Perfect,12/30/2018,"$1,117",$37,31,5.40%,"$2,482",162.624,147.49,"$22,020",649,"$44,484",,,,,,,,,,,,#REF!
Kids Furniture,Desks,Perfect,12/23/2018,$539,$19,16,2.70%,"$1,198",152.537,143.99,"$23,038",679,"$46,542",,,,,,,,,,,,#REF!
Kids Furniture,Desks,Perfect,12/16/2018,$747,$28,21,3.90%,"$1,660",157.311,138.95,"$23,377",693,"$47,227",,,,,,,,,,,,#REF!
Kids Furniture,Desks,Perfect,12/9/2018,"$1,604",$59,45,8.00%,"$3,564",156.387,140.21,"$22,974",682,"$46,411",,,,,,,,,,,,#REF!
Kids Furniture,Desks,Perfect,12/2/2018,"$1,760",$66,45,8.50%,"$3,911",144.298,140.63,"$23,682",711,"$47,842",,,,,,,,,,,,#REF!
Kids Furniture,Desks,Perfect,11/25/2018,"$1,600",$63,39,8.10%,"$3,556",131.901,141.89,"$23,419",712,"$47,311",,,,,,,,,,,,#REF!
Kids Furniture,Desks,Perfect,11/18/2018,"$1,039",$44,31,5.60%,"$2,309",133.21,150.92,"$24,156",745,"$48,800",,,,,,,,,,,,#REF!
Kids Furniture,Desks,Perfect,11/11/2018,"$1,056",$41,29,5.20%,"$2,347",148.841,149.03,"$24,250",747,"$48,989",,,,,,,,,,,,#REF!
Kids Furniture,Desks,Perfect,11/4/2018,"$1,213",$47,31,5.90%,"$2,696",113.113,148.47,"$24,244",753,"$48,978",,,,,,,,,,,,#REF!
Kids Furniture,Desks,Perfect,10/28/2018,"$1,294",$54,36,6.50%,"$2,876",141.064,145.53,"$25,070",783,"$50,647",,,,,,,,,,,,#REF!
Kids Furniture,Desks,Perfect,10/21/2018,"$1,420",$53,38,6.20%,"$3,156",129.822,145.6,"$25,570",807,"$51,656",,,,,,,,,,,,#REF!
Kids Furniture,Desks,Perfect,10/14/2018,"$1,900",$72,38,8.00%,"$4,222",133.056,144.9,"$26,230",825,"$52,989",,,,,,,,,,,,#REF!
Kids Furniture,Desks,Perfect,10/7/2018,"$1,592",$60,40,6.50%,"$3,538",103.103,140.28,"$27,458",868,"$55,471",,,,,,,,,,,,#REF!
Kids Furniture,Desks,Great,1/13/2019,$90,$4,5,3.70%,$200,94.017,128.59,"$3,615",105,"$7,302",,,,,,,,,,,,#REF!
Kids Furniture,Desks,Great,1/6/2019,$52,$2,3,1.80%,$116,19.789,121.31,"$3,669",108,"$7,411",,,,,,,,,,,,#REF!
Kids Furniture,Desks,Great,12/30/2018,$95,$5,5,4.40%,$211,97.559,113.19,"$3,689",108,"$7,453",,,,,,,,,,,,#REF!
Kids Furniture,Desks,Great,12/23/2018,$84,$4,4,3.50%,$187,88.704,108.5,"$3,774",111,"$7,624",,,,,,,,,,,,#REF!
Kids Furniture,Desks,Great,12/16/2018,$57,$4,4,3.40%,$127,236.852,110.11,"$3,860",113,"$7,798",,,,,,,,,,,,#REF!
Kids Furniture,Desks,Great,12/9/2018,$199,$8,9,6.90%,$442,134.288,112.91,"$3,586",108,"$7,244",,,,,,,,,,,,#REF!
Kids Furniture,Desks,Great,12/2/2018,$210,$8,9,6.60%,$467,124.047,110.11,"$3,709",114,"$7,493",,,,,,,,,,,,#REF!
Kids Furniture,Desks,Great,11/25/2018,$282,$11,9,8.90%,$627,91.399,116.2,"$3,617",112,"$7,307",,,,,,,,,,,,#REF!
Kids Furniture,Desks,Great,11/18/2018,$113,$4,4,3.20%,$251,182.182,120.96,"$3,816",121,"$7,709",,,,,,,,,,,,#REF!
Kids Furniture,Desks,Great,11/11/2018,$114,$5,5,4.20%,$253,123.97,121.73,"$3,662",115,"$7,398",,,,,,,,,,,,#REF!
Kids Furniture,Desks,Great,11/4/2018,$253,$13,14,10.10%,$562,122.353,117.81,"$3,644",116,"$7,362",,,,,,,,,,,,#REF!
Kids Furniture,Desks,Great,10/28/2018,$40,$3,4,2.30%,$89,80.388,113.68,"$3,865",127,"$7,809",,,,,,,,,,,,#REF!
Kids Furniture,Desks,Great,10/21/2018,$21,$4,6,3.20%,$47,123.97,114.66,"$3,630",122,"$7,333",,,,,,,,,,,,#REF!
Kids Furniture,Desks,Great,10/14/2018,$341,$9,7,7.00%,$758,120.813,115.71,"$3,645",120,"$7,364",,,,,,,,,,,,#REF!
Kids Furniture,Desks,Great,10/7/2018,$86,$3,4,2.40%,$191,27.104,113.26,"$3,722",120,"$7,520",,,,,,,,,,,,#REF!
Kids Furniture,Desks,OK,1/13/2019,$13,$1,1,3.10%,$29,90.321,139.09,$768,31,"$1,551",,,,,,,,,,,,#REF!
Kids Furniture,Desks,OK,1/6/2019,$14,$1,1,3.10%,$31,167.167,134.82,$750,31,"$1,516",,,,,,,,,,,,#REF!
Kids Furniture,Desks,OK,12/30/2018,$0,$0,0,0.00%,$0,0,134.19,$766,32,"$1,547",,,,,,,,,,,,#REF!
Kids Furniture,Desks,OK,12/23/2018,$38,$1,1,3.30%,$84,122.507,128.73,$701,29,"$1,416",,,,,,,,,,,,#REF!
Kids Furniture,Desks,OK,12/16/2018,$28,$1,1,3.40%,$62,77.154,144.13,$683,28,"$1,380",,,,,,,,,,,,#REF!
Kids Furniture,Desks,OK,12/9/2018,$52,$3,3,9.40%,$116,76.769,132.86,$710,29,"$1,433",,,,,,,,,,,,#REF!
Kids Furniture,Desks,OK,12/2/2018,$38,$2,2,5.90%,$84,216.524,132.3,$776,32,"$1,567",,,,,,,,,,,,#REF!
Kids Furniture,Desks,OK,11/25/2018,$14,$1,1,2.90%,$31,1.848,128.24,$779,33,"$1,573",,,,,,,,,,,,#REF!
Kids Furniture,Desks,OK,11/18/2018,$18,$1,1,2.90%,$40,1.001,130.34,$767,33,"$1,549",,,,,,,,,,,,#REF!
Kids Furniture,Desks,OK,11/11/2018,$41,$2,2,6.50%,$91,102.179,130.97,$690,29,"$1,393",,,,,,,,,,,,#REF!
Kids Furniture,Desks,OK,11/4/2018,$59,$3,3,9.10%,$131,129.283,133.42,$716,30,"$1,447",,,,,,,,,,,,#REF!
Kids Furniture,Desks,OK,10/28/2018,$18,$1,1,3.10%,$40,202.741,138.67,$758,31,"$1,531",,,,,,,,,,,,#REF!
Kids Furniture,Desks,OK,10/21/2018,$0,$0,0,0.00%,$0,0,133.91,$779,32,"$1,573",,,,,,,,,,,,#REF!
Kids Furniture,Desks,OK,10/14/2018,-$16,-$1,0,-3.20%,-$36,0,126.07,$779,32,"$1,573",,,,,,,,,,,,#REF!
Kids Furniture,Desks,OK,10/7/2018,$46,$2,2,6.50%,$102,61.523,120.54,$734,29,"$1,482",,,,,,,,,,,,#REF!
Kids Furniture,Beds,Perfect,1/13/2019,$944,$19,21,8.90%,$973,155.771,156.17,"$10,069",195,"$9,437",,,,,,,,,,,,#REF!
Kids Furniture,Beds,Perfect,1/6/2019,$579,$13,14,5.80%,$597,134.134,148.82,"$11,123",213,"$10,425",,,,,,,,,,,,#REF!
Kids Furniture,Beds,Perfect,12/30/2018,$586,$10,9,4.30%,$604,109.417,143.15,"$11,673",225,"$10,940",,,,,,,,,,,,#REF!
Kids Furniture,Beds,Perfect,12/23/2018,$464,$10,9,4.10%,$478,71.995,137.2,"$12,146",233,"$11,384",,,,,,,,,,,,#REF!
Kids Furniture,Beds,Perfect,12/16/2018,$363,$7,7,2.80%,$374,74.459,130.9,"$12,657",243,"$11,862",,,,,,,,,,,,#REF!
Kids Furniture,Beds,Perfect,12/9/2018,$755,$16,15,6.00%,$778,93.786,123.62,"$12,999",249,"$12,182",,,,,,,,,,,,#REF!
Kids Furniture,Beds,Perfect,12/2/2018,$338,$7,9,2.60%,$348,98.791,118.37,"$13,684",263,"$12,825",,,,,,,,,,,,#REF!
Kids Furniture,Beds,Perfect,11/25/2018,$648,$9,7,3.30%,$668,82.39,115.78,"$13,703",263,"$12,842",,,,,,,,,,,,#REF!
Kids Furniture,Beds,Perfect,11/18/2018,$266,$6,8,2.20%,$274,88.165,113.4,"$14,218",268,"$13,325",,,,,,,,,,,,#REF!
Kids Furniture,Beds,Perfect,11/11/2018,$422,$6,6,2.30%,$435,99.869,112.42,"$13,594",260,"$12,740",,,,,,,,,,,,#REF!
Kids Furniture,Beds,Perfect,11/4/2018,$396,$8,8,3.00%,$408,74.536,110.18,"$13,774",260,"$12,909",,,,,,,,,,,,#REF!
Kids Furniture,Beds,Perfect,10/28/2018,$15,$1,2,0.40%,$15,45.276,107.66,"$13,836",262,"$12,967",,,,,,,,,,,,#REF!
Kids Furniture,Beds,Perfect,10/21/2018,$270,$4,6,1.50%,$278,81.312,104.58,"$13,427",256,"$12,584",,,,,,,,,,,,#REF!
Kids Furniture,Beds,Perfect,10/14/2018,$351,$6,6,2.30%,$362,61.061,102.76,"$13,218",253,"$12,388",,,,,,,,,,,,#REF!
Kids Furniture,Beds,Perfect,10/7/2018,$135,$3,3,1.20%,$139,152.768,101.01,"$13,118",251,"$12,294",,,,,,,,,,,,#REF!
Kids Furniture,Beds,Great,1/13/2019,$36,$1,1,3.00%,$37,170.401,167.93,"$1,327",32,"$1,243",,,,,,,,,,,,#REF!
Kids Furniture,Beds,Great,1/6/2019,$105,$2,2,5.90%,$108,94.479,163.52,"$1,318",32,"$1,235",,,,,,,,,,,,#REF!
Kids Furniture,Beds,Great,12/30/2018,$36,$1,1,2.80%,$37,94.864,156.8,"$1,510",35,"$1,415",,,,,,,,,,,,#REF!
Kids Furniture,Beds,Great,12/23/2018,$44,$1,2,2.70%,$45,101.409,147,"$1,546",36,"$1,448",,,,,,,,,,,,#REF!
Kids Furniture,Beds,Great,12/16/2018,$18,$1,1,2.60%,$19,80.619,142.45,"$1,646",38,"$1,542",,,,,,,,,,,,#REF!
Kids Furniture,Beds,Great,12/9/2018,$64,$2,2,4.90%,$66,108.031,135.66,"$1,663",39,"$1,559",,,,,,,,,,,,#REF!
Kids Furniture,Beds,Great,12/2/2018,$0,$0,1,0.00%,$0,45.661,127.82,"$1,726",41,"$1,618",,,,,,,,,,,,#REF!
Kids Furniture,Beds,Great,11/25/2018,$132,$3,3,6.80%,$136,74.844,121.17,"$1,751",41,"$1,641",,,,,,,,,,,,#REF!
Kids Furniture,Beds,Great,11/18/2018,$134,$2,2,4.40%,$138,80.311,117.67,"$1,857",43,"$1,740",,,,,,,,,,,,#REF!
Kids Furniture,Beds,Great,11/11/2018,$57,$1,1,2.20%,$59,40.271,110.81,"$1,981",45,"$1,857",,,,,,,,,,,,#REF!
Kids Furniture,Beds,Great,11/4/2018,$110,$2,2,4.20%,$113,44.429,103.32,"$2,034",46,"$1,906",,,,,,,,,,,,#REF!
Kids Furniture,Beds,Great,10/28/2018,$0,$0,0,0.00%,$0,0,98.49,"$2,145",48,"$2,010",,,,,,,,,,,,#REF!
Kids Furniture,Beds,Great,10/21/2018,$27,$0,1,0.00%,$28,84.161,94.15,"$2,087",47,"$1,956",,,,,,,,,,,,#REF!
Kids Furniture,Beds,Great,10/14/2018,$80,$1,1,2.10%,$82,4.774,90.72,"$2,087",47,"$1,956",,,,,,,,,,,,#REF!
Kids Furniture,Beds,Great,10/7/2018,$118,$2,2,4.00%,$122,42.273,83.23,"$2,175",48,"$2,038",,,,,,,,,,,,#REF!
Kids Furniture,Beds,OK,1/13/2019,$76,$2,2,18.20%,$78,141.911,91.84,$377,9,$354,,,,,,,,,,,,#REF!
Kids Furniture,Beds,OK,1/6/2019,$0,$0,0,0.00%,$0,0,87.36,$461,11,$432,,,,,,,,,,,,#REF!
Kids Furniture,Beds,OK,12/30/2018,$48,$1,1,8.30%,$49,71.148,81.13,$461,11,$432,,,,,,,,,,,,#REF!
Kids Furniture,Beds,OK,12/23/2018,-$39,-$1,0,-9.10%,-$40,0,85.89,$524,12,$491,,,,,,,,,,,,#REF!
Kids Furniture,Beds,OK,12/16/2018,$0,$0,0,0.00%,$0,0,60.48,$495,11,$464,,,,,,,,,,,,#REF!
Kids Furniture,Beds,OK,12/9/2018,$0,$0,0,0.00%,$0,0,55.58,$495,11,$464,,,,,,,,,,,,#REF!
Kids Furniture,Beds,OK,12/2/2018,$107,$2,2,15.40%,$110,40.964,48.79,$495,11,$464,,,,,,,,,,,,#REF!
Kids Furniture,Beds,OK,11/25/2018,$95,$2,2,13.30%,$98,118.503,52.92,$594,13,$557,,,,,,,,,,,,#REF!
Kids Furniture,Beds,OK,11/18/2018,$40,$1,1,6.70%,$41,37.961,52.43,$623,14,$584,,,,,,,,,,,,#REF!
Kids Furniture,Beds,OK,11/11/2018,$0,$0,0,0.00%,$0,0,49.28,$636,14,$596,,,,,,,,,,,,#REF!
Kids Furniture,Beds,OK,11/4/2018,$0,$0,0,0.00%,$0,0,44.38,$636,14,$596,,,,,,,,,,,,#REF!
Kids Furniture,Beds,OK,10/28/2018,$0,$0,0,0.00%,$0,0,42.77,$582,13,$545,,,,,,,,,,,,#REF!
Kids Furniture,Beds,OK,10/21/2018,-$60,-$1,0,-8.30%,-$62,0,37.73,$582,13,$545,,,,,,,,,,,,#REF!
Kids Furniture,Beds,OK,10/14/2018,$48,$1,1,7.70%,$49,31.339,33.04,$526,12,$493,,,,,,,,,,,,#REF!
Kids Furniture,Beds,OK,10/7/2018,$0,$0,0,0.00%,$0,0,30.8,$510,12,$478,,,,,,,,,,,,#REF!
Furniture,Dining Tables,Perfect,1/13/2019,$0,$0,0,0.00%,$0,0,185.15,"$1,353",88,"$2,196",,,,,,,,,,,,#REF!
Furniture,Dining Tables,Perfect,1/6/2019,$74,$5,5,5.40%,$96,188.265,179.9,"$1,353",88,"$2,196",,,,,,,,,,,,#REF!
