item_id,category,department,from_state_name,to_state_name,staff_id,transition_date_time,transition_order,duration_secs,cumulative_duration_secs,price
40084,Spoons,Kitchen and Dining,PACKED,DROPPED,122,2019-01-28T21:53:33.771000+00:00,16,28,41468865,39.55
40228,Forks,Kitchen and Dining,FORSALE_REVIEW,FORSALE_APPROVED,,2019-01-04T20:58:26.406000+00:00,11,9385,39389178,188.8
40491,Forks,Kitchen and Dining,PICKING,PICKED,178,2019-01-18T18:04:29.828000+00:00,14,248,40525834,31.86
40491,Forks,Kitchen and Dining,ORDERED,PICKING,178,2019-01-18T18:00:21.552000+00:00,13,43282,40525586,31.86
40491,Forks,Kitchen and Dining,DROPPED,PICKED_UP,,2019-01-18T18:27:02.585000+00:00,18,966,40527187,31.86
40491,Forks,Kitchen and Dining,PICKED,PACKING,117,2019-01-18T18:10:07.732000+00:00,15,338,40526172,31.86
40491,Forks,Kitchen and Dining,PACKING,PACKED,117,2019-01-18T18:10:41.639000+00:00,16,34,40526206,31.86
40491,Forks,Kitchen and Dining,FORSALE_APPROVED,ORDERED,,2019-01-18T05:58:59.737000+00:00,12,10389751,40482304,31.86
40491,Forks,Kitchen and Dining,PACKED,DROPPED,117,2019-01-18T18:10:56.026000+00:00,17,15,40526221,31.86
40498,Forks,Kitchen and Dining,FORSALE_REVIEW,FORSALE_APPROVED,,2019-01-19T00:04:39.864000+00:00,11,6234,40547244,71.06
40539,Forks,Kitchen and Dining,PICKING,PICKED,178,2019-01-22T22:14:15.482000+00:00,5,0,40885279,35.94
40539,Forks,Kitchen and Dining,ORDERED,PICKING,178,2019-01-22T22:14:15.466000+00:00,4,4604,40885279,35.94
40539,Forks,Kitchen and Dining,DROPPED,PICKED_UP,,2019-01-23T20:03:16.216000+00:00,9,2508,40963820,35.94
40539,Forks,Kitchen and Dining,PACKING,PACKED,122,2019-01-23T19:21:14.519000+00:00,7,86,40961298,35.94
40539,Forks,Kitchen and Dining,PICKED,PACKING,122,2019-01-23T19:19:48.813000+00:00,6,75933,40961212,35.94
40539,Forks,Kitchen and Dining,FORSALE_APPROVED,ORDERED,,2019-01-22T20:57:31.624000+00:00,3,40872057,40880675,35.94
40539,Forks,Kitchen and Dining,PACKED,DROPPED,122,2019-01-23T19:21:28.225000+00:00,8,14,40961312,35.94
40645,Spoons,Kitchen and Dining,FORSALE_REVIEW,FORSALE_APPROVED,,2019-01-03T22:15:43.191000+00:00,11,6061,39241378,42
40852,Forks,Kitchen and Dining,PICKING,PICKED,178,2019-01-11T22:39:39.644000+00:00,5,28,39929630,35.94
40852,Forks,Kitchen and Dining,ORDERED,PICKING,178,2019-01-11T22:39:11.985000+00:00,4,7650,39929602,35.94
40852,Forks,Kitchen and Dining,PICKED,PACKING,117,2019-01-11T23:20:28.925000+00:00,6,2449,39932079,35.94
40852,Forks,Kitchen and Dining,PACKING,PACKED,117,2019-01-11T23:20:59.850000+00:00,7,31,39932110,35.94
40852,Forks,Kitchen and Dining,FORSALE_APPROVED,ORDERED,,2019-01-11T20:31:41.032000+00:00,3,39642593,39921952,35.94
40852,Forks,Kitchen and Dining,DROPPED,PICKED_UP,,2019-01-11T23:56:27.622000+00:00,9,2111,39934238,35.94
40852,Forks,Kitchen and Dining,PACKED,DROPPED,117,2019-01-11T23:21:16.994000+00:00,8,17,39932127,35.94
40889,Forks,Kitchen and Dining,PICKED,PACKING,135,2019-01-10T00:16:15.366000+00:00,6,1739,39761629,59.06
40889,Forks,Kitchen and Dining,PICKING,PICKED,135,2019-01-09T23:47:16.422000+00:00,5,62,39759890,59.06
40889,Forks,Kitchen and Dining,ORDERED,PICKING,135,2019-01-09T23:46:14.047000+00:00,4,18076,39759828,59.06
40889,Forks,Kitchen and Dining,PACKING,PACKED,135,2019-01-10T00:26:00.145000+00:00,7,585,39762214,59.06
40889,Forks,Kitchen and Dining,DROPPED,PICKED_UP,,2019-01-10T00:48:06.555000+00:00,9,1317,39763540,59.06
